                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7151,                 6.0656,                 1.2163,                0.00051,                0.07143,                0.00029,                 0.0001,                 2.3194,                 7.2114,                 1.2819,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.7546,                 4.8262,                 1.1924,                0.00048,                0.07143,                0.00028,                  7e-05,                 2.4209,                 6.9084,                 1.3699,             0.00062438,             0.00062438,             0.00062438
                      3,                 1.8996,                 4.9972,                 1.2123,                0.00096,                0.10714,                0.00552,                0.00207,                 2.3562,                 6.1321,                 1.2167,             0.00090563,             0.00090563,             0.00090563
                      4,                  1.568,                 4.5346,                 1.2102,                0.00154,                0.17857,                0.00485,                0.00232,                 2.0654,                  6.071,                 1.1989,              0.0011605,              0.0011605,              0.0011605
                      5,                  1.805,                 4.5841,                 1.1729,                 0.0015,                0.21429,                 0.0355,                0.01395,                 2.0082,                 6.1495,                 1.1784,              0.0013889,              0.0013889,              0.0013889
                      6,                 1.5938,                 3.8245,                 1.2251,                  0.334,                0.21572,                 0.2311,                0.10415,                 1.9357,                 5.3947,                 1.1298,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.8087,                 4.1651,                 1.1674,                0.21003,                0.28571,                0.17476,                0.05983,                 2.1867,                 4.7596,                 1.2599,              0.0013369,              0.0013369,              0.0013369
                      8,                  1.705,                 3.9628,                 1.1538,                0.11875,                0.21429,                0.08368,                0.03476,                 1.7245,                 5.1238,                 1.1438,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.7479,                  3.271,                 1.1433,                0.08316,                0.14286,                0.05037,                0.01994,                 2.1977,                 5.8266,                 1.2349,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.6869,                 3.4819,                 1.1277,                 0.2391,                0.17857,                0.16838,                0.05931,                 1.9358,                 4.5374,                 1.1994,              0.0011389,              0.0011389,              0.0011389
                     11,                  1.707,                 3.5607,                 1.0778,                0.82626,                0.21429,                0.22899,                0.10643,                 1.7047,                  4.211,                 1.1716,              0.0010729,              0.0010729,              0.0010729
                     12,                  1.645,                 3.0936,                 1.1747,                0.70024,                0.10714,                0.06545,                0.02744,                 2.1688,                  5.782,                 1.2409,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.5655,                 3.0682,                 1.0888,                0.23063,                0.21407,                0.16039,                0.05628,                 2.1885,                 4.5896,                 1.2736,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.6862,                 2.9161,                 1.0991,                0.77091,                0.29611,                0.26524,                0.12682,                 2.0238,                 3.6962,                 1.2736,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.4066,                  2.645,                 1.0827,                0.39959,                 0.8498,                0.44836,                0.21493,                 1.8295,                 3.3887,                 1.2295,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.4034,                 2.9105,                 1.0734,                0.39143,                0.28571,                0.38362,                0.17777,                 1.8287,                 3.1233,                 1.1848,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.5142,                 2.8717,                 1.1079,                0.82793,                0.28571,                0.25908,                0.13618,                 1.9444,                 3.7103,                 1.1748,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.4308,                 2.7627,                0.99977,                 0.3989,                0.32143,                0.32159,                0.15386,                 1.8176,                 3.4655,                 1.1232,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.3839,                 2.5943,                 1.0348,                0.34459,                0.32143,                0.29555,                0.14141,                 1.7712,                 3.4562,                 1.0866,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.3502,                  2.481,                 1.0566,                0.39773,                0.32143,                0.32534,                0.16589,                 1.7139,                 3.2255,                 1.0675,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.2176,                 2.2393,                0.97354,                0.90641,                0.31091,                0.36158,                0.19469,                  1.769,                 3.0346,                  1.124,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.2535,                 2.4837,                0.99464,                0.92819,                0.28571,                0.37053,                0.19534,                 1.7893,                  2.958,                 1.1526,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.2713,                 2.2331,                0.99225,                0.36898,                0.32143,                0.36914,                0.15391,                  2.012,                 2.8762,                 1.2212,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.1932,                  2.174,                0.96005,                0.45274,                0.34299,                0.41187,                0.16933,                 1.9751,                 2.8583,                 1.2015,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.1792,                 2.2515,                0.98068,                0.92709,                0.32143,                0.41323,                0.18296,                 1.8554,                 2.8861,                  1.177,              0.0001487,              0.0001487,              0.0001487
